season;time;holidays;events;max load (MW)
spr/fall;T3;N;N;50659
spr/fall;T1;N;N;59233
spr/fall;T1;N;N;58032
spr/fall;T1;N;N;61087
spr/fall;T1;N;N;62348
spr/fall;T2;N;N;62347
spr/fall;T3;N;N;56923
spr/fall;T3;N;N;59086
spr/fall;T1;N;N;68326
spr/fall;T1;N;N;67047
spr/fall;T1;N;N;68262
spr/fall;T1;N;N;71535
spr/fall;T2;N;N;71199
spr/fall;T3;N;N;62034
spr/fall;T3;N;N;59732
spr/fall;T1;N;N;70752
spr/fall;T1;N;N;74335
spr/fall;T1;N;N;72366
spr/fall;T1;N;N;68157
spr/fall;T2;N;N;66695
spr/fall;T3;N;N;57313
spr/fall;T3;N;Y;54694
spr/fall;T1;Y;N;58406
spr/fall;T1;N;N;70003
spr/fall;T1;N;N;68841
spr/fall;T1;N;N;67074
spr/fall;T2;N;N;64814
spr/fall;T3;N;N;58951
spr/fall;T3;N;N;60487
spr/fall;T1;N;N;75948
spr/fall;T1;N;N;74539
spr/fall;T1;N;N;74293
spr/fall;T1;Y;N;65698
spr/fall;T2;N;N;66186
spr/fall;T3;N;N;59927
spr/fall;T3;N;N;58459
spr/fall;T1;N;N;72940
spr/fall;T1;N;N;75966
spr/fall;T1;N;N;79106
spr/fall;T1;N;N;77635
spr/fall;T2;N;N;75417
spr/fall;T3;N;N;67631
spr/fall;T3;N;N;66767
spr/fall;T1;N;N;80899
spr/fall;T1;N;N;82285
spr/fall;T1;N;N;83070
spr/fall;T1;N;N;85802
spr/fall;T2;N;N;84670
spr/fall;T3;N;N;80121
spr/fall;T3;N;Y;78092
spr/fall;T1;N;N;90609
spr/fall;T1;N;N;92330
winter;T1;N;N;91275
winter;T1;N;N;91778
winter;T2;N;N;91206
winter;T3;N;N;85454
winter;T3;N;Y;79247
winter;T1;N;Y;86916
winter;T1;N;N;86197
winter;T1;N;N;85311
winter;T1;N;N;89275
winter;T2;N;N;87787
winter;T3;N;N;77154
winter;T3;N;Y;75990
winter;T1;N;N;92195
winter;T1;N;N;94932
winter;T1;N;N;96710
winter;T1;N;N;94422
winter;T2;N;N;90885
winter;T3;N;N;85636
winter;T3;N;Y;78807
winter;T1;N;N;85548
winter;T1;N;N;83969
winter;T1;N;N;82974
winter;T1;N;N;82813
winter;T2;N;N;80400
winter;T3;Y;N;78233
winter;T3;N;N;80705
winter;T1;N;N;87099
winter;T1;N;N;82242
winter;T1;N;N;79063
winter;T1;N;N;78283
winter;T2;N;Y;76468
winter;T3;Y;N;71057
winter;T3;N;N;75983
winter;T1;N;N;89637
winter;T1;N;N;91942
winter;T1;N;N;89768
winter;T1;N;Y;81316
winter;T2;N;N;74399
winter;T3;N;N;66667
winter;T3;N;N;67720
winter;T1;N;N;82494
winter;T1;N;N;81506
winter;T1;N;N;79200
winter;T1;N;N;74602
winter;T2;N;N;72960
winter;T3;N;N;65957
winter;T3;N;N;65349
winter;T1;N;N;76363
winter;T1;N;N;78598
winter;T1;N;N;82450
winter;T1;N;N;86170
winter;T2;N;N;87572
winter;T3;N;N;81037
winter;T3;N;N;77485
winter;T1;N;N;87449
winter;T1;N;N;85801
winter;T1;N;N;85413
winter;T1;N;N;87033
winter;T2;N;N;86487
winter;T3;N;N;80915
winter;T3;N;N;80616
winter;T1;N;N;91580
winter;T1;N;N;91940
winter;T1;N;N;88108
winter;T1;N;N;84089
winter;T2;N;N;80689
winter;T3;N;N;69461
winter;T3;N;N;67807
winter;T1;N;N;78154
winter;T1;N;N;77071
winter;T1;N;N;78390
winter;T1;N;N;77536
winter;T2;N;N;74239
winter;T3;N;N;67019
winter;T3;N;N;66681
winter;T1;N;Y;77876
winter;T1;N;N;78507
winter;T1;N;N;75441
winter;T1;N;N;76201
winter;T2;N;N;74913
winter;T3;N;N;70001
winter;T3;N;N;67567
winter;T1;N;N;75972
winter;T1;N;N;76723
winter;T1;N;N;78043
winter;T1;N;N;75693
winter;T2;N;N;72065
winter;T3;N;N;65898
winter;T3;N;N;67342
winter;T1;N;N;77082
spr/fall;T1;N;N;79053
spr/fall;T1;N;N;78966
spr/fall;T1;N;N;76722
spr/fall;T2;N;N;78891
spr/fall;T3;N;N;68452
spr/fall;T3;N;N;67244
spr/fall;T1;N;N;75873
spr/fall;T1;N;N;75887
spr/fall;T1;N;N;72871
spr/fall;T1;N;N;72575
spr/fall;T2;N;N;70057
spr/fall;T3;N;N;63805
spr/fall;T3;N;N;62109
spr/fall;T1;N;N;66395
spr/fall;T1;N;N;66734
spr/fall;T1;N;N;67223
spr/fall;T1;N;N;71234
spr/fall;T2;N;N;68548
spr/fall;T3;N;N;62690
spr/fall;T3;N;N;61079
spr/fall;T1;N;N;67180
spr/fall;T1;N;N;67697
spr/fall;T1;N;N;66251
spr/fall;T1;N;N;64211
spr/fall;T2;N;N;61655
spr/fall;T3;N;N;55121
spr/fall;T3;N;Y;54156
spr/fall;T1;N;N;60874
spr/fall;T1;N;N;62521
spr/fall;T1;N;N;62443
spr/fall;T1;N;N;63782
spr/fall;T2;N;N;61570
spr/fall;T3;N;N;51098
spr/fall;T3;N;N;51510
spr/fall;T1;N;N;60551
spr/fall;T1;N;N;62227
spr/fall;T1;N;N;59517
spr/fall;T1;N;N;56594
spr/fall;T2;N;N;55647
spr/fall;T3;N;N;49237
spr/fall;T3;N;N;47589
spr/fall;T1;N;N;55642
spr/fall;T1;N;N;58261
spr/fall;T1;N;N;59668
spr/fall;T1;N;N;60543
spr/fall;T2;N;N;59899
spr/fall;T3;N;N;51858
spr/fall;T3;N;Y;50122
spr/fall;T1;N;N;56790
spr/fall;T1;N;N;56424
spr/fall;T1;N;N;56408
spr/fall;T1;N;N;56257
spr/fall;T2;N;N;55054
spr/fall;T3;N;N;49744
spr/fall;T3;N;Y;46668
spr/fall;T1;Y;N;47199
spr/fall;T1;N;N;54898
spr/fall;T1;N;N;55650
spr/fall;T1;N;N;57525
spr/fall;T2;N;N;57221
spr/fall;T3;N;N;49215
spr/fall;T3;Y;N;45983
spr/fall;T1;N;N;55130
spr/fall;T1;N;N;56466
spr/fall;T1;N;N;56186
spr/fall;T1;N;N;55568
spr/fall;T2;N;N;55195
spr/fall;T3;N;N;48876
spr/fall;T3;Y;N;46962
spr/fall;T1;N;Y;54963
spr/fall;T1;N;N;55399
spr/fall;T1;N;N;55935
spr/fall;T1;N;N;55736
spr/fall;T2;N;N;54954
spr/fall;T3;N;N;49257
spr/fall;T3;N;N;47382
spr/fall;T1;N;N;55433
spr/fall;T1;N;N;55356
spr/fall;T1;N;N;56218
spr/fall;T1;N;N;55729
spr/fall;T2;N;N;55481
spr/fall;T3;N;N;48868
spr/fall;T3;N;N;46595
spr/fall;T1;N;N;54906
spr/fall;T1;N;N;55655
spr/fall;T1;N;N;55761
spr/fall;T1;N;N;56204
spr/fall;T2;N;N;55958
spr/fall;T3;N;N;48996
spr/fall;T3;N;Y;47573
spr/fall;T1;N;N;55700
spr/fall;T1;N;N;56119
summer;T1;N;N;56565
summer;T1;Y;N;48080
summer;T2;N;N;51572
summer;T3;N;N;48638
summer;T3;N;N;46451
summer;T1;N;N;55548
summer;T1;N;N;56336
summer;T1;N;N;56155
summer;T1;N;N;55468
summer;T2;N;N;55847
summer;T3;N;N;48748
summer;T3;N;Y;46240
summer;T1;Y;N;47991
summer;T1;N;N;56203
summer;T1;N;N;56924
summer;T1;N;N;57066
summer;T2;N;N;56252
summer;T3;N;N;49341
summer;T3;N;Y;47099
summer;T1;N;N;56104
summer;T1;N;N;57151
summer;T1;N;N;57625
summer;T1;N;N;56376
summer;T2;N;N;55843
summer;T3;N;N;49466
summer;T3;N;N;49106
summer;T1;N;N;58178
